proj_id,unique_id,fund_class_name,class_abbr_name,display_name,search_term,amc_name_th,amc_name_en,policy_desc,nav_start,nav_end,nav_months,nav_span_months,nav_completeness
M0209_2548,C0000000021,main,main,K-SET50,ตราสารทุน,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,KASIKORN ASSET MANAGEMENT COMPANY LIMITED,ตราสารทุน,2015-01-05,2026-07-31,135,139,0.9712230215827338
M0155_2547,C0000000023,M-S50-G,M-S50-G,M-S50,ตราสารทุน,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED ,ตราสารทุน,2015-01-05,2026-07-31,135,139,0.9712230215827338
M0005_2565,C0000000239,SCBCIO(A),SCBCIO(A),SCBCIO,ผสม,บริษัทหลักทรัพย์จัดการกองทุน ไทยพาณิชย์ จำกัด,SCB ASSET MANAGEMENT COMPANY LIMITED,ผสม,2022-03-29,2026-07-27,49,53,0.9245283018867925
M0056_2564,C0000000329,main,main,BCAP-GMA,ผสม,บริษัทหลักทรัพย์จัดการกองทุนรวม  บัวหลวง จำกัด,BBL ASSET MANAGEMENT COMPANY LIMITED,ผสม,2021-09-27,2026-07-27,55,59,0.9322033898305084
M0187_2563,C0000000290,ABTESSF,ABTESSF,ABTESSF-M,ตราสารทุน,บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด,ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED,ตราสารทุน,2020-06-01,2026-07-31,70,74,0.9459459459459459
M0089_2545,C0000000623,main,main,UOBEQRMF,ตราสารทุน,บริษัทหลักทรัพย์จัดการกองทุน ยูโอบี (ประเทศไทย) จำกัด,UOB ASSET MANAGEMENT (THAILAND) COMPANY LIMITED,ตราสารทุน,2015-01-05,2026-07-31,135,139,0.9712230215827338
M0776_2547,C0000005022,main,main,ASP-ERF,ตราสารทุน,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,ตราสารทุน,2015-01-05,2026-07-31,135,139,0.9712230215827338
M0359_2552,C0000006099,main,main,X-EQRMF,ตราสารทุน,บริษัทหลักทรัพย์จัดการกองทุน เอ็กซ์สปริง จำกัด,XSPRING ASSET MANAGEMENT COMPANY LIMITED,ตราสารทุน,2015-01-05,2026-07-31,135,139,0.9712230215827338
M0430_2556,C0000006122,main,main,PEQ,ตราสารทุน,บริษัทหลักทรัพย์จัดการกองทุนรวม  ฟิลลิป จำกัด,PHILLIP ASSET MANAGEMENT COMPANY LIMITED,ตราสารทุน,2015-01-05,2026-07-31,135,139,0.9712230215827338
M0337_2550,C0000000021,main,main,K-MONEY,ตราสารหนี้,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,KASIKORN ASSET MANAGEMENT COMPANY LIMITED,ตราสารหนี้,2015-01-05,2026-07-31,135,139,0.9712230215827338
M0084_2545,C0000000023,main,main,MMF-RMF,ตราสารหนี้,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED ,ตราสารหนี้,2015-01-05,2026-07-31,135,139,0.9712230215827338
M0306_2552,C0000000239,main,main,SCBTMF,ตราสารหนี้,บริษัทหลักทรัพย์จัดการกองทุน ไทยพาณิชย์ จำกัด,SCB ASSET MANAGEMENT COMPANY LIMITED,ตราสารหนี้,2015-01-05,2026-07-31,135,139,0.9712230215827338
M0008_2537,C0000000021,main,main,RKF4,ตราสารทุน,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,KASIKORN ASSET MANAGEMENT COMPANY LIMITED,ตราสารทุน,2015-01-05,2026-07-31,135,139,0.9712230215827338
M0017_2538,C0000000021,K-FIXED-A,K-FIXED-A,K-FIXED,ตราสารหนี้,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,KASIKORN ASSET MANAGEMENT COMPANY LIMITED,ตราสารหนี้,2015-01-05,2026-07-31,135,139,0.9712230215827338
M0110_2568,C0000000021,main,main,K-CHINNO25A-UI,ทรัพย์สินทางเลือก,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,KASIKORN ASSET MANAGEMENT COMPANY LIMITED,ทรัพย์สินทางเลือก,2025-06-18,2026-06-30,8,13,0.6153846153846154
M0009_2543,C0000000021,main,main,K-FEQ,ผสม,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,KASIKORN ASSET MANAGEMENT COMPANY LIMITED,ผสม,2015-01-05,2026-07-31,135,139,0.9712230215827338
M0317_2567,C0000000021,main,main,K-GPC-UI,อื่น ๆ,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,KASIKORN ASSET MANAGEMENT COMPANY LIMITED,อื่น ๆ,2024-10-01,2026-06-02,21,21,1.0
M0277_2568,C0000000329,main,main,1I01BSET50,ไม่ระบุ เนื่องจากเป็นกองทุนรวมอีทีเอฟแบบ leveraged management หรือ inverse management,บริษัทหลักทรัพย์จัดการกองทุนรวม  บัวหลวง จำกัด,BBL ASSET MANAGEMENT COMPANY LIMITED,ไม่ระบุ เนื่องจากเป็นกองทุนรวมอีทีเอฟแบบ leveraged management หรือ inverse management,2025-09-24,2026-07-31,11,11,1.0
